order_month,pedidos,receita_usd
2020-01,505,67598.88
2020-02,458,61158.82
2020-03,465,62489.86
2020-04,470,65028.24
2020-05,488,59956.1
2020-06,459,64501.05
2020-07,454,53801.1
2020-08,475,60250.47
2020-09,458,63838.33
2020-10,518,68316.35
2020-11,441,58315.3
2020-12,468,63836.27
2021-01,502,69411.68
2021-02,458,59765.65
2021-03,493,67765.89
2021-04,459,64613.77
2021-05,493,62750.08
2021-06,460,64396.2
2021-07,514,76474.39
2021-08,493,62009.7
2021-09,483,59522.73
2021-10,491,65982.1
2021-11,480,66050.29
2021-12,505,67332.18
2022-01,501,63007.0
2022-02,436,54350.15
2022-03,497,64664.9
2022-04,452,56533.24
2022-05,474,67796.95
2022-06,448,58582.09
2022-07,493,70191.55
2022-08,522,71251.61
2022-09,437,62150.95
2022-10,474,63498.24
2022-11,487,64404.15
2022-12,478,63295.34
2023-01,513,72895.28
2023-02,422,52539.32
2023-03,483,65315.16
2023-04,486,60455.93
2023-05,470,63759.4
2023-06,467,68141.5
2023-07,509,71000.5
2023-08,491,64074.86
2023-09,457,59553.7
2023-10,485,69015.69
2023-11,463,60589.44
2023-12,493,72389.37
2024-01,494,63452.29
2024-02,439,59878.33
2024-03,478,60946.68
2024-04,452,54604.34
2024-05,474,60604.24
2024-06,451,57740.38
2024-07,509,65883.24
2024-08,504,70582.82
2024-09,456,60843.1
2024-10,503,69016.27
2024-11,497,63691.81
2024-12,517,69036.95
2025-01,512,73721.28
2025-02,441,61015.29
2025-03,512,72187.0
2025-04,479,60620.05
2025-05,468,66420.91
2025-06,468,62953.16
2025-07,470,56183.91
2025-08,521,71093.01
2025-09,514,69386.33
2025-10,493,68734.33
