order_id,customer_id,order_time,payment_method,discount_pct,subtotal_usd,total_usd,country,device,source,order_month,order_year
1,13917,2025-01-31 23:07:42,card,20,107.15,85.72,PL,desktop,organic,2025-01,2025
2,1022,2024-02-19 01:17:50,card,0,116.17,116.17,FR,tablet,organic,2024-02,2024
3,6145,2024-12-04 20:24:13,card,0,137.35,137.35,US,mobile,organic,2024-12,2024
4,3152,2024-07-17 08:50:47,card,15,32.18,27.35,BR,mobile,email,2024-07,2024
5,12378,2020-08-21 16:54:16,card,0,238.09,238.09,NL,desktop,paid,2020-08,2020
6,18712,2022-03-07 03:42:34,paypal,0,129.64,129.64,GB,mobile,paid,2022-03,2022
7,17224,2020-03-15 08:56:46,wallet,15,145.45,123.63,JP,mobile,paid,2020-03,2020
8,3448,2021-12-06 01:26:52,card,0,9.03,9.03,JP,desktop,direct,2021-12,2021
9,9132,2022-11-28 03:34:04,card,20,392.95,314.36,IN,mobile,direct,2022-11,2022
10,14764,2023-03-15 10:06:17,paypal,20,9.69,7.75,ES,mobile,organic,2023-03,2023
11,14044,2025-03-12 02:48:39,card,15,55.77,47.4,US,mobile,direct,2025-03,2025
12,1718,2020-12-06 00:41:12,card,20,124.75,99.8,FR,mobile,social,2020-12,2020
13,16279,2020-05-10 10:18:59,card,20,29.29,23.43,GB,mobile,referral,2020-05,2020
14,9009,2023-10-02 00:59:30,card,0,13.72,13.72,BR,tablet,direct,2023-10,2023
15,16327,2022-04-23 14:28:19,card,0,242.89,242.89,GB,desktop,direct,2022-04,2022
16,8211,2023-05-13 14:56:47,card,5,250.79,238.25,DE,mobile,direct,2023-05,2023
17,16729,2022-11-23 15:23:15,paypal,15,44.92,38.18,SG,mobile,organic,2022-11,2022
18,7968,2022-05-08 19:59:31,wallet,15,316.99,269.44,JP,desktop,paid,2022-05,2022
19,6528,2023-02-23 08:57:27,card,20,209.71,167.77,MX,mobile,direct,2023-02,2023
20,787,2021-07-19 08:11:27,paypal,5,12.8,12.16,NL,desktop,paid,2021-07,2021
21,8489,2022-05-19 09:04:09,card,20,77.25,61.8,BR,tablet,organic,2022-05,2022
22,4199,2025-01-18 22:07:52,card,5,54.28,51.57,US,desktop,organic,2025-01,2025
23,16035,2024-08-25 12:22:01,paypal,10,22.41,20.17,NL,mobile,direct,2024-08,2024
24,17730,2020-06-18 15:21:54,paypal,0,210.16,210.16,NL,mobile,organic,2020-06,2020
25,10225,2024-11-06 00:36:27,card,20,300.87,240.7,US,mobile,paid,2024-11,2024
26,7679,2025-09-26 10:12:23,paypal,0,39.09,39.09,DE,mobile,social,2025-09,2025
27,9683,2020-11-17 01:34:56,card,5,606.63,576.3,NL,mobile,social,2020-11,2020
28,4760,2020-04-08 06:19:38,wallet,0,51.23,51.23,US,mobile,organic,2020-04,2020
29,3062,2022-12-29 09:37:33,card,15,37.29,31.7,US,desktop,organic,2022-12,2022
30,11356,2024-09-22 03:09:08,card,10,14.55,13.1,US,desktop,organic,2024-09,2024
31,6212,2021-04-20 19:29:41,card,15,251.7,213.95,AU,mobile,direct,2021-04,2021
32,8312,2021-04-02 13:45:50,card,15,155.37,132.06,GB,mobile,organic,2021-04,2021
33,14299,2023-04-09 21:16:25,card,0,9.69,9.69,SG,desktop,referral,2023-04,2023
34,4997,2021-08-29 04:48:29,card,0,14.52,14.52,DE,desktop,paid,2021-08,2021
35,8056,2020-04-12 05:00:17,paypal,20,18.98,15.18,BR,desktop,referral,2020-04,2020
36,18051,2023-09-19 22:20:11,card,20,176.85,141.48,ZA,tablet,paid,2023-09,2023
37,18605,2020-07-26 05:21:03,paypal,0,29.23,29.23,DE,mobile,referral,2020-07,2020
38,10401,2024-09-21 09:05:37,card,5,122.23,116.12,SG,mobile,organic,2024-09,2024
39,10741,2024-08-27 11:34:32,card,5,94.97,90.22,US,mobile,referral,2024-08,2024
40,415,2020-01-11 18:15:34,paypal,0,28.79,28.79,FR,tablet,organic,2020-01,2020
41,17059,2025-02-12 00:48:51,wallet,0,22.74,22.74,AE,tablet,social,2025-02,2025
42,12755,2021-10-11 17:11:18,card,0,30.38,30.38,JP,desktop,email,2021-10,2021
43,3783,2021-08-27 16:09:42,card,20,144.13,115.3,US,mobile,paid,2021-08,2021
44,5066,2022-06-14 08:29:25,card,0,59.77,59.77,US,mobile,organic,2022-06,2022
45,16286,2023-09-09 07:47:52,card,5,39.58,37.6,US,desktop,email,2023-09,2023
46,2068,2025-01-28 09:22:19,card,5,320.97,304.92,JP,mobile,paid,2025-01,2025
47,3540,2024-07-19 20:06:32,card,5,46.78,44.44,IN,mobile,email,2024-07,2024
48,2303,2021-11-26 01:36:27,paypal,10,53.05,47.74,ES,mobile,social,2021-11,2021
49,14378,2020-01-17 11:06:48,wallet,15,46.78,39.76,AE,tablet,email,2020-01,2020
50,1398,2020-04-26 21:52:52,card,20,83.1,66.48,US,tablet,direct,2020-04,2020
51,3240,2022-03-09 15:25:28,card,5,89.51,85.03,FR,mobile,direct,2022-03,2022
52,19199,2020-08-26 13:03:52,card,10,249.9,224.91,CA,desktop,email,2020-08,2020
53,1233,2020-08-30 23:30:03,paypal,20,52.91,42.33,IN,mobile,direct,2020-08,2020
54,12908,2022-07-31 06:30:51,card,0,247.72,247.72,MX,mobile,direct,2022-07,2022
