review_id,order_id,product_id,rating,review_text,review_time
1,4,1157,2,Not great quality.,2022-02-01
2,7,405,4,Good value for money!,2020-03-07
3,7,487,5,"Excellent product, highly recommend!",2024-12-26
4,7,442,5,"Excellent product, highly recommend!",2021-03-18
5,7,348,4,Good value for money!,2025-09-30
6,23,1018,4,Good value for money!,2021-12-11
7,33,769,2,Not great quality.,2021-06-04
8,36,602,4,Good value for money!,2025-07-10
9,36,351,5,"Excellent product, highly recommend!",2020-05-08
10,49,501,3,Okay overall.,2023-02-12
11,50,535,5,"Excellent product, highly recommend!",2022-05-05
12,52,466,4,Good value for money!,2023-11-06
13,52,198,5,"Excellent product, highly recommend!",2021-11-15
14,52,458,5,"Excellent product, highly recommend!",2025-09-16
15,52,277,5,"Excellent product, highly recommend!",2021-12-05
16,54,177,2,Not great quality.,2021-10-02
17,54,259,4,Good value for money!,2024-09-23
18,60,458,4,Good value for money!,2022-12-10
19,60,1009,5,"Excellent product, highly recommend!",2024-09-18
20,60,284,3,Okay overall.,2025-04-03
21,60,892,5,"Excellent product, highly recommend!",2021-12-14
22,63,977,3,Okay overall.,2022-07-04
23,65,732,5,"Excellent product, highly recommend!",2020-03-27
24,67,10,5,"Excellent product, highly recommend!",2021-01-19
25,68,907,3,Okay overall.,2021-04-12
26,68,913,3,Okay overall.,2024-07-17
27,75,1171,5,"Excellent product, highly recommend!",2023-11-28
28,75,1163,3,Okay overall.,2023-12-12
29,75,1053,5,"Excellent product, highly recommend!",2020-05-06
30,75,1014,5,"Excellent product, highly recommend!",2020-02-08
31,80,973,4,Good value for money!,2023-09-16
32,84,563,5,"Excellent product, highly recommend!",2023-07-24
33,86,200,3,Okay overall.,2023-07-29
34,86,291,4,Good value for money!,2020-01-05
35,86,249,1,"Very disappointed, would not buy again.",2023-06-08
36,100,932,5,"Excellent product, highly recommend!",2022-09-14
37,100,1041,4,Good value for money!,2023-09-06
38,103,861,1,"Very disappointed, would not buy again.",2023-01-13
39,106,891,5,"Excellent product, highly recommend!",2022-09-14
40,115,855,5,"Excellent product, highly recommend!",2025-01-09
41,115,685,4,Good value for money!,2025-04-23
42,115,333,4,Good value for money!,2023-08-29
43,121,109,4,Good value for money!,2023-03-09
44,121,132,4,Good value for money!,2024-06-06
45,122,258,5,"Excellent product, highly recommend!",2023-06-17
46,130,1104,3,Okay overall.,2021-11-28
47,137,1017,5,"Excellent product, highly recommend!",2023-06-18
48,137,404,5,"Excellent product, highly recommend!",2025-08-26
49,138,1096,3,Okay overall.,2023-03-06
50,138,369,4,Good value for money!,2020-02-21
51,156,8,4,Good value for money!,2025-06-03
52,158,217,5,"Excellent product, highly recommend!",2023-01-18
53,165,942,3,Okay overall.,2020-12-20
54,166,783,4,Good value for money!,2024-02-06
55,166,769,2,Not great quality.,2024-12-03
56,170,1007,4,Good value for money!,2022-04-02
57,170,890,3,Okay overall.,2025-05-31
58,173,987,5,"Excellent product, highly recommend!",2020-06-18
59,173,514,4,Good value for money!,2024-05-04
60,174,1144,4,Good value for money!,2020-03-13
61,181,173,4,Good value for money!,2021-11-05
62,181,659,3,Okay overall.,2020-09-15
63,181,436,3,Okay overall.,2022-01-14
64,187,845,5,"Excellent product, highly recommend!",2021-02-10
65,187,728,4,Good value for money!,2022-04-18
66,188,675,3,Okay overall.,2022-07-16
67,188,879,5,"Excellent product, highly recommend!",2020-06-04
68,188,309,4,Good value for money!,2020-05-27
69,188,1022,4,Good value for money!,2023-04-05
70,191,494,5,"Excellent product, highly recommend!",2021-09-09
71,194,371,5,"Excellent product, highly recommend!",2024-04-25
72,194,563,5,"Excellent product, highly recommend!",2022-06-18
73,194,51,4,Good value for money!,2022-07-07
74,195,979,3,Okay overall.,2024-09-19
75,195,678,5,"Excellent product, highly recommend!",2024-11-01
76,195,313,5,"Excellent product, highly recommend!",2022-12-28
77,207,142,5,"Excellent product, highly recommend!",2021-06-29
78,207,653,5,"Excellent product, highly recommend!",2025-10-19
79,211,386,4,Good value for money!,2024-06-23
80,211,371,3,Okay overall.,2022-08-23
81,211,429,4,Good value for money!,2020-03-11
82,216,173,2,Not great quality.,2021-09-01
83,216,1177,4,Good value for money!,2021-11-17
84,217,1193,4,Good value for money!,2023-09-07
